# 医学自定义词典 - jieba 分词用
# 格式: 词语 频率 词性
# ── 常见疾病 ──
急性心肌梗死 100 n
非小细胞肺癌 100 n
小细胞肺癌 100 n
2型糖尿病 100 n
1型糖尿病 100 n
高血压病 100 n
冠状动脉粥样硬化性心脏病 100 n
冠心病 100 n
脑梗死 100 n
脑出血 100 n
慢性阻塞性肺疾病 100 n
支气管哮喘 100 n
胃食管反流病 100 n
溃疡性结肠炎 100 n
克罗恩病 100 n
系统性红斑狼疮 100 n
类风湿关节炎 100 n
强直性脊柱炎 100 n
甲状腺功能亢进症 100 n
甲状腺功能减退症 100 n
慢性肾脏病 100 n
急性肾损伤 100 n
肝硬化 100 n
慢性乙型肝炎 100 n
慢性丙型肝炎 100 n
非酒精性脂肪性肝病 100 n
急性胰腺炎 100 n
慢性胰腺炎 100 n
社区获得性肺炎 100 n
肺栓塞 100 n
深静脉血栓形成 100 n
心房颤动 100 n
心力衰竭 100 n
扩张型心肌病 100 n
肥厚型心肌病 100 n
感染性心内膜炎 100 n
急性淋巴细胞白血病 100 n
急性髓系白血病 100 n
慢性粒细胞白血病 100 n
弥漫大B细胞淋巴瘤 100 n
多发性骨髓瘤 100 n
乳腺癌 100 n
结直肠癌 100 n
胃癌 100 n
肝癌 100 n
食管癌 100 n
胰腺癌 100 n
前列腺癌 100 n
宫颈癌 100 n
卵巢癌 100 n
子宫内膜癌 100 n
甲状腺癌 100 n
肾细胞癌 100 n
膀胱癌 100 n
黑色素瘤 100 n
鼻咽癌 100 n
头颈部鳞癌 100 n
骨肉瘤 100 n
癫痫 100 n
帕金森病 100 n
阿尔茨海默病 100 n
重症肌无力 100 n
多发性硬化 100 n
吉兰巴雷综合征 100 n
特发性血小板减少性紫癜 100 n
再生障碍性贫血 100 n
缺铁性贫血 100 n
巨幼细胞性贫血 100 n
溶血性贫血 100 n
骨髓增生异常综合征 100 n
血友病 100 n
弥散性血管内凝血 100 n
痛风 100 n
骨关节炎 100 n
系统性硬化症 100 n
多肌炎 100 n
皮肌炎 100 n
干燥综合征 100 n
抗磷脂综合征 100 n
血管炎 100 n
大动脉炎 100 n
结节性多动脉炎 100 n
肉芽肿性多血管炎 100 n
肾病综合征 100 n
IgA肾病 100 n
糖尿病肾病 100 n
高血压肾病 100 n
狼疮性肾炎 100 n
急性肾小球肾炎 100 n
慢性肾小球肾炎 100 n
泌尿系感染 100 n
肾结石 100 n
输尿管结石 100 n
胆囊结石 100 n
胆管结石 100 n
急性胆囊炎 100 n
慢性胆囊炎 100 n
消化性溃疡 100 n
胃溃疡 100 n
十二指肠溃疡 100 n
肠梗阻 100 n
阑尾炎 100 n
腹股沟疝 100 n
甲状腺功能减退 100 n
